title,url,company,address,salary,experience,education,tags,fuli,detail
SLAM工程师,https://www.lagou.com/jobs/5306190.html,"千巡科技
该企业已上传营业执照并通过资质验证审核",深圳·宝安区,"15k-30k
经验不限",本科,人工智能,[],“ROS”,"职位描述：
主要职责：
1.移动机器人SLAM算法开发；
2.移动机器人导航及路径规划算法开发；
3.完成机器人现场地图构建及部署工具开发；
4.撰写开发文档和使用文档；
5.协助完成产品的测试。

岗位要求：
1.扎实的C/C++开发、调试的经验；
2.熟悉 Linux 平台下的程序开发；
3.扎实的数学基础，有SLAM开发经验；
4.熟悉ROS，Gazebo；
5.熟悉Gmapping、PTAM、LSD-SLAM、ORB-SLAM等开源SLAM算法；
6.熟悉多传感器融合算法；
7.有CUDA开发经验者尤佳；
8.有机器人定位导航项目实际开发经验或相关比赛经验者优先；
9.在视觉导航及机器人相关领域发表顶级会议或期刊论文者尤佳。"
激光SLAM/多传感器融合算法研究员,https://www.lagou.com/jobs/5311013.html,"Face++
该企业已上传营业执照并通过资质验证审核",北京·海淀区,"25k-50k
经验不限",本科,"人工智能
机器学习
深度学习
计算机视觉",[],“大牛团队”,"职位描述：
工作职责:
1、负责单线/多线激光SLAM算法开发与优化。
2、负责lidar laser、IMU、camera、odometer等多传感器融合算法研发。

任职资格:
1、计算机、自动化、软件、机械、电子等相关专业本科或以上学历
2、熟练掌握C/C++编程语言，熟练掌握ROS编程，拥有扎实的SLAM基础理论知识以及较好的数学基础
3、熟练掌握以下：IMU/odometer惯导算法、激光SLAM、Particle Filter、EKF等一项或多项相关技术和开发经验
4、熟悉任意一种激光SLAM（如cartographer, gmapping，loam）算法原理或应用
5、有强烈的上进心和求知欲，善于学习新事物，对技术充满激情
6、责任心强，具备很高的沟通表达能力和团队合作意识"
slam,https://www.lagou.com/jobs/5312480.html,浙江智澜科技有限公司,广州·钟村,"17k-20k
经验不限",不限,"大数据
移动互联网",[],“弹性工作，期权，带团队”,"职位描述：
1:熟悉ros机器人操作系统，熟悉C++编程
2:熟悉激光slam的基础理论和算法，了解图优化，kf等算法
3:熟悉linux环境，有导航开发经验优先
岗位：
1:在ubuntu利用激光雷达，编码器，imu等实现slam算法
2:负责机器人定位，避障等算法开发"
SLAM研究员,https://www.lagou.com/jobs/5330542.html,"商汤科技
该企业已上传营业执照并通过资质验证审核",深圳·深圳湾,"30k-40k
经验不限",硕士,"人工智能
算法",[],“福利待遇优厚，职位发展前景好，学习机会多”,"职位描述：
工作职责:
1. 负责基于多传感器融合的移动机器人自主定位算法的研究与开发
2. 负责SLAM算法研究与开发
3. 负责计算机视觉、环境感知相关算法的合作研发
任职资格:
1. 硕士以上学历，模式识别/计算机/电子/通信相关专业，博士优先
2. 熟练掌握SLAM算法与多模态信息融合算法
3. 有基于VINS、PTAM、LSD-SLAM、ORB-SLAM等SLAM框架开发经验优先
4、精通Python/C/C++，熟悉数字图像处理常用算法原理
5. 对于利用摄像头进行空间标识、标志点提取等有深入研究
6. 熟练掌握常见数据结构和算法，能够分析和优化计算逻辑，提升性能
7. 有OpenCV/PCL/OpenGL开发经验优先
8. 具备良好的学习能力，能够熟练阅读英文文献，并根据文献快速实现相关算法"
SLAM算法工程师,https://www.lagou.com/jobs/5328704.html,"Aibee
该企业已上传营业执照并通过资质验证审核",北京·西北旺,"50k-100k
经验5-10年",硕士,"人工智能
计算机视觉",[],"“创业公司,股权激励,精英团队”","职位描述：
职责
实现机器人的定位、建图算法
要求
3年以上3D视觉经验
精通VIO、SLAM、Structure from Motion
熟悉深度学习
熟悉数值优化方法
熟悉线性代数、李代数、概率论
精通C/C++
熟练使用Linux
熟练ROS系统开发"
SLAM算法工程师,https://www.lagou.com/jobs/5325564.html,"创新工场AI工程院
该企业已上传营业执照并通过资质验证审核",北京·中关村,"25k-40k
经验3-5年",本科,"人工智能
计算机视觉
深度学习",[],"“发展空间大,技术前沿,综合提升,资源广泛”","职位描述：
职责描述：
1）负责移动底盘的自主定位算法研发，包括基于EKF、里程计、IMU、视觉等多信息融合，构建机器人运动模型、观测模型等概率学模型；
2）负责移动底盘自主导航中的路径规划、运动规划等算法研发；
3）负责算法的移植、优化和产品化等相关工作；
4）完成技术文档的编写与维护。
  任职要求：
1）本科及以上学历，自动化、计算机等相关专业，3年以上工作经验；
2）熟悉ROS， 熟悉基于激光雷达的SLAM算法以及激光雷达的使用和数据分析；
3）扎实的数学基础，对State estimation， sensor fusion等算法有深刻理解；
4）熟悉机器人感知、定位、控制相关算法并进行模拟仿真分析；
5）掌握视觉SLAM导航相关理论知识；熟练掌握C,C++，Python等语言；
6）具备良好的团队合作精神、沟通表达能力和执行力，敬业靠谱，工作认真负责，严谨踏实，善于思考总结，接受新事物能力强，具有较强的自学能力；
7）有无人机、机器人、AGV相关行业经验优先考虑；在校期间有过机器人、智能小车比赛经验的更佳。
 "
激光slam/路径规划/建图定位工程师负责人岗,https://www.lagou.com/jobs/5066442.html,"天益智网
该企业已上传营业执照并通过资质验证审核",深圳·南山区,"15k-30k
经验1-3年",本科,"机器学习
深度学习",[],“双休”,"职位描述：
  岗位职责：
1、研究并开发机器人在未知环境中的地图构建算法。包括SLAM问题中的定位、闭环检测等前端算法以及贝叶斯滤波、图优化等后端算法；
2、研究室内室外SLAM算法与定位技术的融合，实现室内室外环境的任意导航。
3、研究机器人通过SLAM技术，使其能够无人工干预下创建地图。
  岗位要求：
1、硕士及以上学历；
2、掌握SLAM的基础理论和算法（如EKF、PF），以SLAM算法为专业研究方向者优先；
3、了解机器人定位导航相关技术，有机器人项目实际开发经验者优先；
4、熟悉机器人激光导航、视觉导航、控制及目标识别技术；
5、熟练掌握C/C++或Python等语言，精通数据结构，具有良好的代码编写习惯；
6、在激光导航、视觉导航及机器人相关领域发表论文者优先。
7、有机器人在室内或室外环境中行走时的运动控制算法和动态避障算法
9、熟悉cartographer 、AMCL、GMAPPING、图优化、A*、DWA、TEB等算法中的一种或几种优先
8、有ROS系统开发经验优先。"
SLAM工程师,https://www.lagou.com/jobs/2051049.html,"WESTWELLlab西井科技
该企业已上传营业执照并通过资质验证审核",上海,"13k-25k
经验不限",硕士,"技能培训
股票期权
带薪年假
芯片",[],“全球领先的神经形态工程团队+高薪水福利”,"职位描述：
工作职责：
1、 研究并开发机器人在未知环境中的地图构建算法以及自主定位算法。
2、 研究并开发机器人自主避障、自主路径规划以及运动规划算法。
3、 研究并开发基于视觉、超声波、里程计等多传感器融合的室内场景感知与建模算法。
4、 负责算法的优化、移植和产品化。
 职位要求：
1、 掌握计算机视觉或定位导航的基础理论和算法，熟悉SLAM算法。
2、 熟悉双目或多目stereo算法。
3、 熟悉C/C++编程和常用数据结构算法。
4、 熟悉ROS，有ROS开发经验优先。
5、 在计算机视觉或机器人相关领域发表论文者优先。
6、 具备良好的逻辑沟通能力和解决实际问题的能力。"
SLAM算法开发工程师,https://www.lagou.com/jobs/4591256.html,"PerceptIn普思英察
该企业已上传营业执照并通过资质验证审核",深圳·科技园,"25k-40k
经验1-3年",本科,"汽车
智能硬件",[],"“海归团队,无人驾驶,发展空间大,期权股票”","职位描述：
岗位职责:

1.负责室外在环境基于单目/双目摄像头/IMU/GPS/汽车轮速等量测的运动估计算法开发；
2. 负责算法的实现和产品化

岗位要求:

1. 本科及以上学历,两年以上SLAM、定位算法经验，熟悉KF、ICP、图优化理论等，熟悉目前主流的视觉VO/SLAM算法(如MSCKF、SVO、DSO、ORB-SLAM等)；
2. 具有机器视觉、多传感器信息融合、惯导等组合导航专业知识
3. 熟练掌握C++常用编程语言，丰富的Linux代码开发经验；
4. 具有ADAS、无人驾驶相关项目经验的优先。

PerceptIn·智能硬件·深圳普思英察科技有限公司
  1.融资情况: 总共融资1100万美金
  2.技术积累：基于计算机视觉的无人驾驶感知系统
http://geek.csdn.net/news/detail/93514

3.媒体报道:
  PerceptIn携无人驾驶技术亮相英伟达GTC China大会
http://www.xtecher.com/Xfeature/view?aid=8684
  PerceptIn普思英察参加TechCrunch Disrupt科技盛会
http://www.xtecher.com/Xfeature/view?aid=8802
  欢迎浏览我们的官网了解更多：https://www.perceptin.com.cn"
SLAM工程师,https://www.lagou.com/jobs/5273446.html,"上海幻海
该企业已上传营业执照并通过资质验证审核",上海·徐家汇,"20k-40k
经验3-5年",硕士,"图像处理
算法
计算机视觉
人工智能",[],“技术氛围好，市场前景大，6险1金”,"职位描述：
岗位职责：

1. 从事基于多视几何技术的三维重建算法的研发工作；
2. 从事基于计算机视觉技术的定位算法研发工作；
3. 从事点云、深度图等3D数据的处理工作。

职责要求：

1. 具备一定的图像处理、点云处理及多视几何相关理论基础，了解SfM、MVS、SLAM等定位、三维重建相关技术及开源框架；
2. 熟悉单目相机、双目相机、RGBD相机、LiDAR等多种传感器设备、数据格式及相关数据处理算法；
3. 熟悉OpenCV、PCL、GDAL、PDAL等一种或多种开源库；
4. 精通C/C++、熟悉Python；
5. 热爱技术，有较强的分析、解决问题的能力。  "
